IDP,1,2,4,8,16,32,64,128
2,44.7089,52.3650,35.8782,16.2861,8.1402,4.0250,2.6554,2.1752
6,179.9498,102.7846,85.9800,67.0795,56.7111,51.4226,51.1425,49.8860
10,80.2873,44.3755,27.0908,20.0516,16.6543,17.2479,19.9262,24.1559
ref,34.8983,30.9693,15.2404,8.7791,6.6493,5.2735,5.7387,3.9529
