IDP,1,2,4,8,16,32,64,128
2,12.7943,6.7538,3.7536,2.0972,1.1736,0.6731,0.4738,0.4297
6,35.1737,24.8784,21.6642,20.7555,26.4298,38.5444,34.7322,41.4311
10,1056.9360,587.7692,308.5816,164.5230,89.2370,50.4101,32.2054,27.5534
ref,18.0311,10.4185,7.8380,4.8129,2.8061,1.5345,0.8624,0.5222
