IDP,1,2,4,8,16
10,1.0000,2.0842,3.7218,6.2391,10.1543
11,1.0000,1.8589,3.6285,7.0532,11.8148
13,1.0000,1.9516,3.7576,7.1549,12.2553
14,1.0000,1.9245,3.6200,7.0000,12.0007
2,1.0000,1.8874,3.6681,7.1098,12.1045
3,1.0000,2.1034,4.0072,7.8128,13.3738
6,1.0000,1.8561,3.6310,7.0539,12.3016
7,1.0000,2.0017,4.1039,7.7775,14.1580
8,1.0000,1.9987,3.8433,7.4407,12.6675
9,1.0000,1.9769,3.7727,7.1332,12.3357
imp,1.0000,1.9558,3.7595,6.5176,10.2014
ref,1.0000,2.2255,4.6138,9.1619,16.5715
